"eta","max_depth","subsample","colsample_bytree","gamma","Value","RMSE","R2"
0.0289611618554739,4,0.95890560055313,0.868297772914425,0.18639876989013,-2.43744425044219,2.43744425044219,0.41935156280414
0.0361297457767666,3,0.718510329931099,0.873945916054417,0.0589742883203053,-2.44001297291669,2.44001297291669,0.41812707480326
0.0317463559304792,3,0.888273134725056,0.932223729531605,0.0604385569474015,-2.44541094183855,2.44541094183855,0.415549706324256
0.013188440441456,4,0.614574022087115,0.954001248496574,0.173539180695,-2.45011308800104,2.45011308800104,0.413299930786213
0.0401197364440261,3,0.676687330953835,0.970160017661272,0.181265518609321,-2.4510166004937,2.4510166004937,0.412867143757995
0.0270799303998323,3,0.740110652602835,0.810415976379661,0.0486853962946699,-2.45828867829874,2.45828867829874,0.409377971307139
0.0435258166368927,5,0.624535909243821,0.846641880717057,0.138153703317986,-2.46900586195448,2.46900586195448,0.404216980611861
0.0445531656640762,3,0.880952700453426,0.999153211403284,0.15984021488039,-2.47056312347552,2.47056312347552,0.403465194174219
0.0531226708802054,3,0.723009318680515,0.808697282090546,0.0455444378072322,-2.47638236972241,2.47638236972241,0.400651688862731
0.0149523606225731,5,0.785143234219367,0.877368271933848,0.148509586454043,-2.47724655281687,2.47724655281687,0.400233306743371
0.0303557232811402,4,0.739587865564219,0.698402100032941,0.0552588343776241,-2.47731415012025,2.47731415012025,0.400200574301602
0.0360877535867615,4,0.726689954384989,0.91930512373514,0.148263089035203,-2.48001986748104,2.48001986748104,0.398889659433317
0.0734558305633254,6,0.934401703998446,0.844711457379162,0.123767641466111,-2.48230705998909,2.48230705998909,0.397780402960078
0.0221199937514029,4,0.962295252364129,0.683063589129597,0.127995753893629,-2.48760036561744,2.48760036561744,0.395209301893588
0.0218686022838892,5,0.723993887294608,1,0.0263018478989103,-2.49116633299597,2.49116633299597,0.393474127935898
0.0108587299683244,3,0.803199274471815,0.672851876583476,0.106253239164849,-2.49929600853219,2.49929600853219,0.389508993882855
0.0691293061361648,6,0.778787851240486,0.962640563119203,0.194193322071806,-2.50245077270654,2.50245077270654,0.387966823065599
0.0847402863460593,5,0.978667293023318,0.874067891761661,0.194707982754335,-2.52459438974795,2.52459438974795,0.377087415969227
0.0767497743117747,6,1,0.704815164413799,0.152145520243056,-2.5250018313208,2.5250018313208,0.37688633736087
0.0943367871968076,7,0.655484067089856,0.924422056507319,0.0871543169952929,-2.52935240135374,2.52935240135374,0.374737241839587
0.0100000000000002,3,0.798998767222844,0.959691360910295,0.0915105947248706,-2.5320613275615,2.5320613275615,0.373397216864893
0.092332543914672,6,0.961612554918975,0.895038247108459,0.0759118481073529,-2.53395905755902,2.53395905755902,0.372457612047897
0.0677570967003703,6,0.632975023239851,0.601579335518181,0.0863502497784793,-2.53810630491561,2.53810630491561,0.370401775135301
0.056718635421712,9,0.805684713739902,0.933166432101279,0.191515319328755,-2.54689798745399,2.54689798745399,0.366032522061084
0.076292948317714,9,0.756081386841834,0.60293365875259,0.177550981100649,-2.54904306097019,2.54904306097019,0.364964179684726
0.0101671254880216,6,0.721470986444329,0.997483727675229,0.177640921026161,-2.55350085963765,2.55350085963765,0.36274112021553
0.0100000000000002,5,0.869704671542577,0.93412400043947,0.2,-2.56195196940982,2.56195196940982,0.358515974356562
0.0357525581307709,9,0.995556691568345,0.755243313126266,0.00748620657250285,-2.56445430145035,2.56445430145035,0.357262250652573
0.0100000000000002,5,0.731630693921936,0.639984811847826,0.2,-2.56813502079303,2.56813502079303,0.355415904615547
0.0100000000000002,9,0.680507843334055,1,0.0264866788273687,-2.63336916580773,2.63336916580773,0.32225336314427
